task_name,gold_standard_file,coverage,entity_name,kendalltau_correlation,kendalltau_pvalue
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Apple_Inc.,0.378947368421053,0.019784403106244
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Google,0.431578947368421,0.007345988192889
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Facebook,0.326315789473684,0.046768936749895
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Microsoft,0.168421052631579,0.31889648047195
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/IBM,0.063157894736842,0.724636220527281
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Angelina_Jolie,0.368421052631579,0.023734495644952
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Brad_Pitt,0.31578947368421,0.054753545747263
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Johnny_Depp,-0.084210526315789,0.630798946258977
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Jennifer_Aniston,0.136842105263158,0.422250281828672
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Leonardo_DiCaprio,0.294736842105263,0.074025729257136
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Grand_Theft_Auto_IV,0.157894736842105,0.351394858173279
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Quake_(video_game),0.2,0.233266557107126
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Deus_Ex,0.431578947368421,0.007345988192889
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Guitar_Hero_(video_game),0.242105263157895,0.145844218364727
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Max_Payne,0.610526315789474,7.3219004164e-05
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Chuck_Norris,0.252631578947368,0.128413511170753
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Sopranos,0.210526315789474,0.208628397813867
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_A-Team,0.326315789473684,0.046768936749895
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Futurama,0.442105263157895,0.005923797271372
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Wire,0.305263157894737,0.063807884534182
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Mad_Men,0.231578947368421,0.164976406363605
