task_name,gold_standard_file,coverage,entity_name,kendalltau_correlation,kendalltau_pvalue
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Apple_Inc.,-0.021052631578947,0.923502331331665
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Google,0.368421052631579,0.023734495644952
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Facebook,0.073684210526316,0.677108238647899
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Microsoft,-0.031578947368421,0.872841459863942
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/IBM,0.094736842105263,0.585858445978212
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Angelina_Jolie,0.421052631578947,0.009056382412965
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Brad_Pitt,0.252631578947368,0.128413511170753
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Johnny_Depp,0.231578947368421,0.164976406363605
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Jennifer_Aniston,0.252631578947368,0.128413511170753
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Leonardo_DiCaprio,0.115789473684211,0.500609627166415
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Grand_Theft_Auto_IV,0.010526315789474,0.974466902938874
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Quake_(video_game),0.442105263157895,0.005923797271372
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Deus_Ex,0.147368421052632,0.385857151315126
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Guitar_Hero_(video_game),0.431578947368421,0.007345988192889
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Max_Payne,0.452631578947368,0.004748309856127
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Chuck_Norris,0.357894736842105,0.028328627342292
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Sopranos,0.4,0.013532373706902
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_A-Team,0.378947368421053,0.019784403106244
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Futurama,0.368421052631579,0.023734495644952
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Wire,0.147368421052632,0.385857151315126
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Mad_Men,0.178947368421053,0.288378196376409
