task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,Forbes,0.8517350157728707,LR,,39.41542536046761
Regression,Forbes,0.8517350157728707,LR,,39.93287648170703
Regression,Forbes,0.8517350157728707,LR,,39.55504856515244
Regression,Forbes,0.8517350157728707,LR,,39.40482798857498
Regression,Forbes,0.8517350157728707,LR,,38.97206868008148
Regression,Forbes,0.8517350157728707,LR,,39.49447006848949
Regression,Forbes,0.8517350157728707,LR,,38.97971385060016
Regression,Forbes,0.8517350157728707,LR,,39.53558655349303
Regression,Forbes,0.8517350157728707,LR,,39.642161239173106
Regression,Forbes,0.8517350157728707,LR,,39.409376190561034
Regression,Forbes,0.8517350157728707,KNN,K=3,42.64170145680517
Regression,Forbes,0.8517350157728707,KNN,K=3,42.35673525189927
Regression,Forbes,0.8517350157728707,KNN,K=3,42.84908746868866
Regression,Forbes,0.8517350157728707,KNN,K=3,42.94429427109377
Regression,Forbes,0.8517350157728707,KNN,K=3,41.904049149640926
Regression,Forbes,0.8517350157728707,KNN,K=3,43.167608074358455
Regression,Forbes,0.8517350157728707,KNN,K=3,42.3784400152173
Regression,Forbes,0.8517350157728707,KNN,K=3,42.50479802834803
Regression,Forbes,0.8517350157728707,KNN,K=3,43.24241161319462
Regression,Forbes,0.8517350157728707,KNN,K=3,43.30953074159794
Regression,Forbes,0.8517350157728707,M5,,56.48885307573535
Regression,Forbes,0.8517350157728707,M5,,61.75462798815246
Regression,Forbes,0.8517350157728707,M5,,60.65863825149747
Regression,Forbes,0.8517350157728707,M5,,57.56094535631473
Regression,Forbes,0.8517350157728707,M5,,57.46675831713518
Regression,Forbes,0.8517350157728707,M5,,59.71664228740192
Regression,Forbes,0.8517350157728707,M5,,57.050714660348014
Regression,Forbes,0.8517350157728707,M5,,57.126562361341065
Regression,Forbes,0.8517350157728707,M5,,61.48221131696745
Regression,Forbes,0.8517350157728707,M5,,58.456000555668915
