task_name,gold_standard_file,coverage,entity_name,kendalltau_correlation,kendalltau_pvalue
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Apple_Inc.,-0.042105263157895,0.822682885442167
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Google,0.526315789473684,0.000840830076306
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Facebook,0.115789473684211,0.500609627166415
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Microsoft,-0.010526315789474,0.974466902938874
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/IBM,0.052631578947368,0.773219474906322
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Angelina_Jolie,0.463157894736842,0.003782664567027
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Brad_Pitt,0.389473684210526,0.016406081268887
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Johnny_Depp,0.010526315789474,0.974466902938874
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Jennifer_Aniston,0.368421052631579,0.023734495644952
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Leonardo_DiCaprio,0.294736842105263,0.074025729257136
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Grand_Theft_Auto_IV,0.273684210526316,0.098330218734756
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Quake_(video_game),0.189473684210526,0.259839989318916
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Deus_Ex,0.347368421052632,0.033643947242161
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Guitar_Hero_(video_game),0.4,0.013532373706902
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Max_Payne,0.547368421052632,0.000480575492058
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Chuck_Norris,0.189473684210526,0.259839989318916
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Sopranos,0.357894736842105,0.028328627342292
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_A-Team,0.242105263157895,0.145844218364727
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Futurama,0.263157894736842,0.112604127064797
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/The_Wire,0.094736842105263,0.585858445978212
EntityRelatedness,KORE,1.0,http://dbpedia.org/resource/Mad_Men,0.189473684210526,0.259839989318916
