task_name,gold_standard_file,coverage,model_name,model_configuration,root_mean_squared_error
Regression,AAUP,0.998368456832087,LR,,77.48331727073946
Regression,AAUP,0.998368456832087,LR,,77.33508907146418
Regression,AAUP,0.998368456832087,LR,,77.30036195625793
Regression,AAUP,0.998368456832087,LR,,77.2655255014396
Regression,AAUP,0.998368456832087,LR,,77.33875159834793
Regression,AAUP,0.998368456832087,LR,,77.35172856608276
Regression,AAUP,0.998368456832087,LR,,77.43038481932857
Regression,AAUP,0.998368456832087,LR,,77.3784944514306
Regression,AAUP,0.998368456832087,LR,,77.3671765013062
Regression,AAUP,0.998368456832087,LR,,77.1973076729023
Regression,AAUP,0.998368456832087,KNN,K=3,79.46674448189324
Regression,AAUP,0.998368456832087,KNN,K=3,79.54776924816237
Regression,AAUP,0.998368456832087,KNN,K=3,79.5546664001404
Regression,AAUP,0.998368456832087,KNN,K=3,79.40407193186162
Regression,AAUP,0.998368456832087,KNN,K=3,79.12450001145393
Regression,AAUP,0.998368456832087,KNN,K=3,79.65495628578601
Regression,AAUP,0.998368456832087,KNN,K=3,79.26955679430492
Regression,AAUP,0.998368456832087,KNN,K=3,79.30566389181017
Regression,AAUP,0.998368456832087,KNN,K=3,79.2355280494945
Regression,AAUP,0.998368456832087,KNN,K=3,79.53619650715801
Regression,AAUP,0.998368456832087,M5,,104.56107548552441
Regression,AAUP,0.998368456832087,M5,,104.78966372706059
Regression,AAUP,0.998368456832087,M5,,107.36371798405419
Regression,AAUP,0.998368456832087,M5,,102.98756911435032
Regression,AAUP,0.998368456832087,M5,,103.88398321040356
Regression,AAUP,0.998368456832087,M5,,103.39995584037142
Regression,AAUP,0.998368456832087,M5,,103.25088664356397
Regression,AAUP,0.998368456832087,M5,,104.32948757045695
Regression,AAUP,0.998368456832087,M5,,105.12919809751065
Regression,AAUP,0.998368456832087,M5,,104.37376423587588
